Person,Age,Weight,Income,Pay Type,Car Value,CC Debt,Gender,Live Alone,Dwell Type,Mall Trips,Nbhd,Have Tried,Pay Type Hourly,Pay Type Salaried,Gender Female,Gender Male,Live Alone No,Live Alone Yes,Dwell Type Apt,Dwell Type Condo,Dwell Type Home,Have Tried No,Have Tried Yes
75,29,196,10200,Hourly,430,1500,Male,No,Home,5,East,Yes,1,0,0,1,1,0,0,0,1,0,1
76,31,176,50300,Salaried,7710,3250,Female,No,Home,10,West,Yes,0,1,1,0,1,0,0,0,1,0,1
77,25,197,15600,Hourly,1360,1670,Male,No,Apt,6,West,Yes,1,0,0,1,1,0,1,0,0,0,1
78,40,194,46500,Salaried,10450,6400,Female,No,Home,7,South,Yes,0,1,1,0,1,0,0,0,1,0,1
79,35,199,3200,Salaried,650,2900,Male,No,Apt,10,East,Yes,0,1,0,1,1,0,1,0,0,0,1
80,40,158,22900,Salaried,6020,440,Male,No,Condo,5,West,Yes,0,1,0,1,1,0,0,1,0,0,1
81,41,160,34800,Salaried,4720,230,Male,No,Home,3,West,Yes,0,1,0,1,1,0,0,0,1,0,1
82,29,160,46100,Salaried,14030,370,Male,No,Home,3,South,No,0,1,0,1,1,0,0,0,1,1,0
83,30,209,33500,Hourly,4550,1780,Male,No,Home,4,East,Yes,1,0,0,1,1,0,0,0,1,0,1
84,50,231,190500,Salaried,6300,4160,Male,No,Apt,3,West,Yes,0,1,0,1,1,0,1,0,0,0,1
85,30,193,10100,Salaried,3140,380,Female,No,Condo,2,West,No,0,1,1,0,1,0,0,1,0,1,0
86,39,184,45400,Hourly,7340,660,Male,No,Home,3,West,No,1,0,0,1,1,0,0,0,1,1,0
87,35,202,38400,Hourly,6960,1250,Male,Yes,Apt,4,West,Yes,1,0,0,1,0,1,1,0,0,0,1
88,46,193,47800,Salaried,6850,1060,Male,No,Condo,2,East,No,0,1,0,1,1,0,0,1,0,1,0
89,35,182,51700,Salaried,25880,1930,Female,No,Home,4,South,Yes,0,1,1,0,1,0,0,0,1,0,1
90,34,190,16900,Hourly,2320,3590,Male,No,Home,8,West,Yes,1,0,0,1,1,0,0,0,1,0,1
91,34,166,30000,Hourly,5550,2120,Female,No,Home,5,West,No,1,0,1,0,1,0,0,0,1,1,0
92,41,183,78400,Hourly,4500,540,Male,No,Home,3,South,Yes,1,0,0,1,1,0,0,0,1,0,1
93,34,218,107200,Salaried,2730,1970,Female,No,Apt,7,East,Yes,0,1,1,0,1,0,1,0,0,0,1
94,24,224,30200,Salaried,4530,3910,Male,No,Home,11,South,Yes,0,1,0,1,1,0,0,0,1,0,1
95,27,237,67800,Hourly,8140,1550,Female,No,Apt,5,East,Yes,1,0,1,0,1,0,1,0,0,0,1
96,30,181,31100,Salaried,12280,3680,Female,No,Condo,8,West,Yes,0,1,1,0,1,0,0,1,0,0,1
97,39,168,47900,Hourly,3010,830,Male,No,Home,3,East,No,1,0,0,1,1,0,0,0,1,1,0
98,38,162,17400,Hourly,1240,980,Female,Yes,Home,2,West,Yes,1,0,1,0,0,1,0,0,1,0,1
99,42,156,21100,Salaried,9270,230,Male,No,Apt,0,West,Yes,0,1,0,1,1,0,1,0,0,0,1
100,36,155,13400,Hourly,1650,320,Female,No,Apt,3,East,No,1,0,1,0,1,0,1,0,0,1,0
101,29,209,39900,Salaried,4240,700,Male,No,Condo,3,East,Yes,0,1,0,1,1,0,0,1,0,0,1
102,45,214,36100,Salaried,4510,1460,Male,No,Apt,4,East,No,0,1,0,1,1,0,1,0,0,1,0
103,38,238,61200,Salaried,10890,1820,Female,Yes,Condo,4,West,Yes,0,1,1,0,0,1,0,1,0,0,1
104,55,208,62800,Hourly,6490,1650,Male,No,Home,5,South,Yes,1,0,0,1,1,0,0,0,1,0,1
105,40,184,77900,Salaried,3230,3210,Male,No,Home,5,West,Yes,0,1,0,1,1,0,0,0,1,0,1
106,60,194,37400,Salaried,5110,670,Male,No,Condo,3,East,No,0,1,0,1,1,0,0,1,0,1,0
107,49,236,56700,Hourly,920,1680,Male,No,Home,4,East,No,1,0,0,1,1,0,0,0,1,1,0
108,32,197,45200,Hourly,5610,460,Female,No,Condo,4,East,No,1,0,1,0,1,0,0,1,0,1,0
109,30,170,19300,Salaried,6990,2020,Male,No,Condo,7,West,Yes,0,1,0,1,1,0,0,1,0,0,1
110,30,200,141700,Salaried,7670,370,Male,No,Home,1,South,No,0,1,0,1,1,0,0,0,1,1,0
111,53,195,129900,Salaried,8480,1050,Male,No,Home,8,East,Yes,0,1,0,1,1,0,0,0,1,0,1
112,38,150,49600,Hourly,7560,2020,Female,No,Home,2,South,No,1,0,1,0,1,0,0,0,1,1,0
113,48,161,30800,Salaried,2730,1080,Male,No,Home,3,East,No,0,1,0,1,1,0,0,0,1,1,0
114,28,218,14800,Salaried,1090,630,Male,No,Apt,5,South,Yes,0,1,0,1,1,0,1,0,0,0,1
115,42,215,43800,Hourly,2150,1250,Female,No,Home,8,South,Yes,1,0,1,0,1,0,0,0,1,0,1
116,56,203,11100,Hourly,1080,720,Male,No,Condo,3,West,No,1,0,0,1,1,0,0,1,0,1,0
117,41,168,24400,Salaried,3190,400,Female,No,Condo,2,East,No,0,1,1,0,1,0,0,1,0,1,0
118,34,173,31500,Hourly,6510,2340,Female,Yes,Home,7,West,Yes,1,0,1,0,0,1,0,0,1,0,1
119,53,190,33100,Salaried,4020,620,Male,Yes,Home,4,East,Yes,0,1,0,1,0,1,0,0,1,0,1
120,30,177,37600,Salaried,6270,2240,Male,No,Apt,9,South,Yes,0,1,0,1,1,0,1,0,0,0,1
121,31,190,44000,Hourly,5280,710,Male,Yes,Apt,2,West,No,1,0,0,1,0,1,1,0,0,1,0
122,40,219,101400,Salaried,9550,580,Male,No,Condo,4,South,No,0,1,0,1,1,0,0,1,0,1,0
123,31,205,35200,Salaried,9360,2890,Male,Yes,Apt,11,South,Yes,0,1,0,1,0,1,1,0,0,0,1
124,44,235,16200,Salaried,6130,930,Female,No,Apt,7,South,No,0,1,1,0,1,0,1,0,0,1,0
125,37,225,27200,Hourly,1220,100,Male,No,Apt,2,South,No,1,0,0,1,1,0,1,0,0,1,0
126,44,154,21300,Hourly,1470,3200,Female,No,Apt,10,West,Yes,1,0,1,0,1,0,1,0,0,0,1
127,34,154,19300,Salaried,3820,130,Male,No,Condo,2,East,No,0,1,0,1,1,0,0,1,0,1,0
128,30,192,33500,Salaried,11090,2700,Male,No,Home,7,West,Yes,0,1,0,1,1,0,0,0,1,0,1
129,24,212,39000,Salaried,5260,1060,Male,No,Home,4,West,Yes,0,1,0,1,1,0,0,0,1,0,1
130,25,216,83000,Salaried,24380,1690,Female,Yes,Apt,6,West,Yes,0,1,1,0,0,1,1,0,0,0,1
131,51,166,69800,Salaried,2860,370,Male,No,Condo,4,East,No,0,1,0,1,1,0,0,1,0,1,0
132,30,182,15400,Salaried,3390,2160,Female,No,Apt,9,East,Yes,0,1,1,0,1,0,1,0,0,0,1
133,26,168,86700,Salaried,15100,560,Female,No,Home,6,West,Yes,0,1,1,0,1,0,0,0,1,0,1
134,32,163,21800,Salaried,890,1060,Male,Yes,Condo,8,West,Yes,0,1,0,1,0,1,0,1,0,0,1
135,32,234,28800,Hourly,2910,350,Female,No,Condo,1,East,No,1,0,1,0,1,0,0,1,0,1,0
136,30,199,80300,Salaried,7200,590,Female,No,Home,2,West,Yes,0,1,1,0,1,0,0,0,1,0,1
137,32,174,72700,Salaried,5210,4080,Male,No,Apt,9,East,Yes,0,1,0,1,1,0,1,0,0,0,1
138,28,169,42400,Salaried,7970,400,Female,No,Home,1,East,No,0,1,1,0,1,0,0,0,1,1,0
139,40,167,54900,Salaried,11520,740,Female,No,Home,6,West,Yes,0,1,1,0,1,0,0,0,1,0,1
140,28,235,23400,Salaried,2950,600,Male,Yes,Home,7,West,Yes,0,1,0,1,0,1,0,0,1,0,1
141,42,173,27100,Hourly,3410,220,Male,No,Home,2,East,No,1,0,0,1,1,0,0,0,1,1,0
142,34,179,7100,Salaried,2480,350,Female,No,Home,3,West,Yes,0,1,1,0,1,0,0,0,1,0,1
143,42,208,64400,Salaried,10460,310,Female,Yes,Condo,3,South,No,0,1,1,0,0,1,0,1,0,1,0
144,27,147,59600,Salaried,7070,900,Female,No,Home,6,South,Yes,0,1,1,0,1,0,0,0,1,0,1
145,45,186,8900,Hourly,940,580,Male,No,Home,4,West,Yes,1,0,0,1,1,0,0,0,1,0,1
146,47,191,21500,Hourly,1700,4360,Female,No,Condo,7,West,Yes,1,0,1,0,1,0,0,1,0,0,1
147,52,182,81900,Hourly,3980,400,Male,No,Apt,3,West,No,1,0,0,1,1,0,1,0,0,1,0
148,58,215,34600,Hourly,3520,990,Male,Yes,Condo,5,West,Yes,1,0,0,1,0,1,0,1,0,0,1
149,53,200,63100,Hourly,4260,930,Male,Yes,Apt,2,West,No,1,0,0,1,0,1,1,0,0,1,0
150,58,175,9600,Salaried,1870,920,Female,No,Home,1,East,No,0,1,1,0,1,0,0,0,1,1,0
151,24,178,97200,Salaried,13400,400,Male,Yes,Condo,2,East,No,0,1,0,1,0,1,0,1,0,1,0
152,33,207,55600,Salaried,15990,930,Male,No,Apt,6,West,Yes,0,1,0,1,1,0,1,0,0,0,1
153,52,220,38000,Salaried,1070,0,Male,No,Condo,2,West,No,0,1,0,1,1,0,0,1,0,1,0
154,29,182,21200,Salaried,2320,1950,Female,No,Home,1,West,Yes,0,1,1,0,1,0,0,0,1,0,1
155,29,188,20000,Hourly,2270,1950,Male,No,Home,11,West,Yes,1,0,0,1,1,0,0,0,1,0,1
156,37,154,56600,Hourly,4820,1450,Female,No,Home,5,East,No,1,0,1,0,1,0,0,0,1,1,0
157,44,213,26500,Hourly,4560,510,Male,No,Home,4,West,No,1,0,0,1,1,0,0,0,1,1,0
158,37,214,17800,Salaried,12350,0,Male,Yes,Apt,3,South,Yes,0,1,0,1,0,1,1,0,0,0,1
159,51,196,60200,Hourly,1430,1570,Male,Yes,Home,5,West,Yes,1,0,0,1,0,1,0,0,1,0,1
160,25,197,111100,Salaried,16220,690,Female,Yes,Apt,5,West,Yes,0,1,1,0,0,1,1,0,0,0,1
161,39,183,30500,Salaried,4780,430,Male,No,Home,4,West,Yes,0,1,0,1,1,0,0,0,1,0,1
162,33,161,41300,Hourly,2500,2950,Male,No,Home,3,East,No,1,0,0,1,1,0,0,0,1,1,0
163,32,179,34800,Salaried,5870,850,Female,No,Apt,5,South,Yes,0,1,1,0,1,0,1,0,0,0,1
164,28,169,49400,Hourly,8880,480,Female,No,Condo,1,East,No,1,0,1,0,1,0,0,1,0,1,0
165,29,194,56500,Salaried,29970,3190,Female,No,Apt,11,South,Yes,0,1,1,0,1,0,1,0,0,0,1
166,35,231,8600,Salaried,2320,1310,Female,Yes,Apt,10,West,Yes,0,1,1,0,0,1,1,0,0,0,1
167,48,179,93000,Hourly,11580,460,Female,No,Apt,7,East,No,1,0,1,0,1,0,1,0,0,1,0
168,47,162,81500,Hourly,4370,490,Female,No,Home,6,East,No,1,0,1,0,1,0,0,0,1,1,0
169,38,180,40500,Hourly,2840,1180,Male,Yes,Apt,5,West,No,1,0,0,1,0,1,1,0,0,1,0
170,40,204,5100,Hourly,340,5070,Male,Yes,Apt,4,East,No,1,0,0,1,0,1,1,0,0,1,0
171,42,188,33000,Hourly,2570,1120,Male,Yes,Home,5,South,No,1,0,0,1,0,1,0,0,1,1,0
172,25,179,79200,Salaried,9440,1650,Male,No,Home,5,West,Yes,0,1,0,1,1,0,0,0,1,0,1
173,53,248,38900,Salaried,3030,1780,Male,No,Condo,9,East,Yes,0,1,0,1,1,0,0,1,0,0,1
174,31,248,36400,Salaried,8760,1010,Female,No,Home,5,West,No,0,1,1,0,1,0,0,0,1,1,0
175,59,185,49700,Salaried,5840,420,Male,No,Home,4,East,No,0,1,0,1,1,0,0,0,1,1,0
176,40,212,39500,Salaried,12130,1160,Male,No,Apt,5,West,Yes,0,1,0,1,1,0,1,0,0,0,1
177,64,220,49800,Salaried,11970,570,Male,No,Home,5,West,Yes,0,1,0,1,1,0,0,0,1,0,1
178,35,229,9100,Hourly,2050,4220,Male,No,Home,8,South,Yes,1,0,0,1,1,0,0,0,1,0,1
179,33,185,51800,Salaried,3810,3100,Male,No,Condo,7,West,Yes,0,1,0,1,1,0,0,1,0,0,1
180,46,155,28300,Hourly,1320,1400,Male,No,Apt,1,West,No,1,0,0,1,1,0,1,0,0,1,0
181,29,253,147700,Salaried,17270,1750,Female,No,Condo,4,South,Yes,0,1,1,0,1,0,0,1,0,0,1
182,35,176,33100,Salaried,6110,280,Female,No,Home,4,South,Yes,0,1,1,0,1,0,0,0,1,0,1
183,46,197,41300,Hourly,13710,490,Female,Yes,Condo,0,South,No,1,0,1,0,0,1,0,1,0,1,0
184,42,165,86700,Salaried,12770,1930,Female,Yes,Condo,1,South,No,0,1,1,0,0,1,0,1,0,1,0
185,57,227,23900,Salaried,4800,2460,Male,Yes,Condo,6,West,Yes,0,1,0,1,0,1,0,1,0,0,1
186,43,205,22600,Salaried,2000,2280,Male,No,Condo,4,South,No,0,1,0,1,1,0,0,1,0,1,0
187,43,242,33300,Hourly,4560,1290,Male,No,Condo,2,West,Yes,1,0,0,1,1,0,0,1,0,0,1
188,48,203,56600,Salaried,13550,1550,Male,No,Apt,4,West,Yes,0,1,0,1,1,0,1,0,0,0,1
189,36,223,56300,Salaried,4090,5480,Male,No,Apt,6,West,Yes,0,1,0,1,1,0,1,0,0,0,1
190,29,172,23700,Salaried,1130,120,Male,No,Apt,1,West,Yes,0,1,0,1,1,0,1,0,0,0,1
191,32,190,6500,Salaried,440,1590,Male,No,Condo,4,West,Yes,0,1,0,1,1,0,0,1,0,0,1
192,35,171,98800,Salaried,1730,1380,Male,No,Home,7,West,Yes,0,1,0,1,1,0,0,0,1,0,1
193,46,206,43400,Hourly,3820,650,Male,No,Home,6,West,Yes,1,0,0,1,1,0,0,0,1,0,1
194,31,224,56000,Hourly,5160,2090,Male,No,Apt,9,West,Yes,1,0,0,1,1,0,1,0,0,0,1
195,50,213,6200,Salaried,1380,850,Male,No,Condo,7,South,Yes,0,1,0,1,1,0,0,1,0,0,1
196,23,163,27300,Hourly,2880,550,Male,No,Home,3,East,No,1,0,0,1,1,0,0,0,1,1,0
197,32,174,53900,Salaried,19750,120,Female,No,Home,4,East,No,0,1,1,0,1,0,0,0,1,1,0
198,53,187,18000,Hourly,1300,100,Male,No,Home,1,South,No,1,0,0,1,1,0,0,0,1,1,0
199,39,223,33700,Salaried,3390,2090,Male,Yes,Apt,7,West,Yes,0,1,0,1,0,1,1,0,0,0,1
200,48,186,34800,Hourly,2040,1220,Male,No,Apt,4,West,Yes,1,0,0,1,1,0,1,0,0,0,1
201,41,221,23700,Hourly,830,760,Female,No,Condo,1,East,No,1,0,1,0,1,0,0,1,0,1,0
202,39,155,44900,Hourly,4390,940,Female,No,Home,5,South,No,1,0,1,0,1,0,0,0,1,1,0
203,43,242,20600,Salaried,3880,280,Male,No,Home,2,South,No,0,1,0,1,1,0,0,0,1,1,0
204,34,162,41900,Salaried,10920,990,Female,Yes,Home,6,West,Yes,0,1,1,0,0,1,0,0,1,0,1
205,26,188,57700,Salaried,4600,930,Female,No,Condo,11,West,Yes,0,1,1,0,1,0,0,1,0,0,1
206,24,186,77000,Hourly,10750,2400,Male,No,Home,5,East,No,1,0,0,1,1,0,0,0,1,1,0
207,47,185,18100,Hourly,130,1760,Male,No,Home,6,West,No,1,0,0,1,1,0,0,0,1,1,0
208,58,194,65400,Salaried,3960,2500,Female,No,Apt,10,East,Yes,0,1,1,0,1,0,1,0,0,0,1
209,30,164,65500,Hourly,2220,2730,Female,No,Home,9,West,Yes,1,0,1,0,1,0,0,0,1,0,1
210,25,190,74800,Salaried,16800,1510,Female,No,Apt,5,East,Yes,0,1,1,0,1,0,1,0,0,0,1
211,48,196,13300,Salaried,3620,170,Male,No,Apt,5,East,No,0,1,0,1,1,0,1,0,0,1,0
212,40,198,14200,Hourly,4950,4000,Female,Yes,Home,7,West,Yes,1,0,1,0,0,1,0,0,1,0,1
213,51,150,3800,Hourly,530,190,Male,No,Apt,5,East,No,1,0,0,1,1,0,1,0,0,1,0
214,42,195,80800,Salaried,9550,2360,Female,No,Home,11,West,Yes,0,1,1,0,1,0,0,0,1,0,1
215,29,156,64300,Salaried,8580,2560,Male,Yes,Home,7,West,Yes,0,1,0,1,0,1,0,0,1,0,1
216,40,188,46300,Salaried,16330,560,Female,No,Condo,4,South,No,0,1,1,0,1,0,0,1,0,1,0
217,39,190,8500,Hourly,460,1400,Male,No,Home,7,West,Yes,1,0,0,1,1,0,0,0,1,0,1
218,40,211,44900,Salaried,10120,2730,Female,No,Home,4,South,Yes,0,1,1,0,1,0,0,0,1,0,1
219,48,189,38800,Hourly,1770,1640,Female,No,Apt,8,South,Yes,1,0,1,0,1,0,1,0,0,0,1
220,41,194,76600,Salaried,1880,1030,Male,No,Home,5,South,Yes,0,1,0,1,1,0,0,0,1,0,1
221,32,179,50900,Salaried,11880,1500,Male,No,Condo,6,South,Yes,0,1,0,1,1,0,0,1,0,0,1
222,59,206,44400,Hourly,4290,510,Female,No,Condo,3,South,No,1,0,1,0,1,0,0,1,0,1,0
223,35,225,36500,Hourly,3850,80,Female,No,Home,0,West,No,1,0,1,0,1,0,0,0,1,1,0
224,41,197,48600,Hourly,920,2100,Male,No,Condo,8,West,Yes,1,0,0,1,1,0,0,1,0,0,1
225,55,177,47100,Salaried,5050,590,Male,Yes,Apt,5,West,Yes,0,1,0,1,0,1,1,0,0,0,1
226,31,223,42900,Salaried,4330,590,Female,No,Condo,7,West,Yes,0,1,1,0,1,0,0,1,0,0,1
227,40,160,39300,Hourly,6060,1380,Male,Yes,Condo,4,West,Yes,1,0,0,1,0,1,0,1,0,0,1
228,29,228,21000,Hourly,2090,170,Female,No,Apt,2,West,Yes,1,0,1,0,1,0,1,0,0,0,1
229,52,200,43300,Hourly,4140,910,Female,No,Condo,6,South,No,1,0,1,0,1,0,0,1,0,1,0
230,33,168,43300,Hourly,3390,2590,Male,No,Condo,5,East,Yes,1,0,0,1,1,0,0,1,0,0,1
231,38,180,31800,Hourly,4610,1570,Female,No,Apt,2,East,No,1,0,1,0,1,0,1,0,0,1,0
232,47,211,59800,Hourly,2950,1560,Male,No,Condo,3,East,Yes,1,0,0,1,1,0,0,1,0,0,1
233,56,156,15200,Salaried,3900,1290,Male,Yes,Condo,7,South,Yes,0,1,0,1,0,1,0,1,0,0,1
234,53,232,22500,Hourly,1230,230,Female,No,Home,3,South,No,1,0,1,0,1,0,0,0,1,1,0
235,27,173,43300,Salaried,6670,4600,Female,No,Condo,8,East,Yes,0,1,1,0,1,0,0,1,0,0,1
236,22,185,44100,Hourly,3440,1070,Male,No,Condo,6,South,Yes,1,0,0,1,1,0,0,1,0,0,1
237,43,217,17600,Salaried,10660,730,Female,No,Apt,4,West,Yes,0,1,1,0,1,0,1,0,0,0,1
